"Name","AnimalType","AgeinDays","HasName","Hour","Minute","Weekday","Day","Month","Year","TimeofDay","ColorComplexity","BreedComplexity","IsMix","SimpleBreed","SimpleColor","Intact","Sex","LifeStage"
"Hambone","Dog","365",1,18,22,"3",12,"2","2014","lateday","11","21",1,"Shetland Sheepdog","Brown",0,"Male","baby"
"Emily","Cat","365",1,12,44,"7",13,"10","2013","midday","11","22",1,"Domestic Shorthair","Cream",0,"Female","baby"
"Pearce","Dog","730",1,12,28,"6",31,"1","2015","midday","10","12",1,"Pit Bull","Blue",0,"Male","adult"
"Nameless","Cat","21",0,19,9,"5",11,"7","2014","lateday","10","22",1,"Domestic Shorthair","Blue",1,"Male","baby"
"Nameless","Dog","730",0,12,52,"5",15,"11","2013","midday","3","27",1,"Lhasa Apso","Tan",0,"Male","adult"
"Elsa","Dog","30",1,13,4,"5",25,"4","2014","midday","9","33",1,"Cairn Terrier","Black",1,"Female","baby"
"Jimmy","Cat","21",1,13,11,"6",28,"3","2015","midday","10","22",1,"Domestic Shorthair","Blue",1,"Male","baby"
"Nameless","Cat","21",0,17,2,"4",30,"4","2015","lateday","11","22",1,"Domestic Shorthair","Brown",3,"Unknown","baby"
"Lucy","Dog","150",1,17,17,"2",4,"2","2014","lateday","9","29",1,"American Pit Bull Terrier","Red",0,"Female","baby"
"Nameless","Dog","365",0,7,48,"6",3,"5","2014","morning","5","13",0,"Cairn Terrier","White",0,"Female","baby"
"Nameless","Cat","730",0,15,50,"4",5,"12","2013","midday","5","22",1,"Domestic Shorthair","Black",3,"Unknown","adult"
"Nameless","Dog","730",0,14,48,"1",4,"11","2013","midday","6","23",1,"Miniature Schnauzer","Silver",0,"Female","adult"
"Rocket","Dog","1460",1,11,27,"3",3,"2","2016","night","5","12",1,"Pit Bull","Brown",0,"Male","adult"
"Scooter","Dog","730",1,16,30,"1",8,"6","2015","lateday","9","21",1,"Yorkshire Terrier","Black",0,"Male","adult"
"Preston","Dog","365",1,15,0,"3",25,"11","2015","midday","11","18",1,"Great Pyrenees","White",0,"Male","baby"
"Oliver","Cat","90",1,12,10,"6",12,"7","2014","midday","18","22",1,"Domestic Shorthair","Orange",0,"Male","baby"
"Nameless","Cat","21",0,16,15,"6",3,"5","2014","lateday","11","22",1,"Domestic Shorthair","Brown",1,"Male","baby"
"Nameless","Dog","14",0,12,54,"6",7,"6","2014","midday","11","12",1,"Pit Bull","Brown",1,"Female","baby"
"Chrissy","Cat","730",1,11,32,"6",17,"5","2014","night","5","10",1,"Angora","White",1,"Female","adult"
"Kuma","Dog","365",1,17,34,"3",30,"7","2014","lateday","5","23",1,"Flat Coat Retriever","Black",0,"Male","baby"
"Anders","Dog","60",1,15,3,"7",19,"1","2014","midday","11","21",1,"Queensland Heeler","Black",1,"Male","baby"
"Munchkin","Cat","365",1,15,19,"5",18,"9","2015","midday","5","22",1,"Domestic Shorthair","White",0,"Female","baby"
"Jamaica","Dog","730",1,14,22,"6",15,"8","2015","midday","19","17",1,"Plott Hound","Brown",0,"Female","adult"
"Quattro","Dog","300",1,16,32,"1",28,"10","2013","lateday","11","19",1,"German Shepherd","Brown",0,"Male","baby"
"Trigger","Dog","60",1,17,44,"3",9,"4","2014","lateday","11","19",1,"German Shepherd","Black",0,"Male","baby"
"Olive","Cat","30",1,15,44,"6",3,"10","2015","midday","12","22",1,"Domestic Shorthair","Orange",1,"Female","baby"
"Nia","Dog","180",1,17,31,"5",15,"1","2016","lateday","15","34",1,"American Staffordshire Terrier","Chocolate",0,"Female","baby"
"Chloe","Dog","1825",1,18,50,"3",25,"3","2015","lateday","9","23",1,"Chihuahua Shorthair","White",0,"Female","adult"
"Cymbale","Cat","60",1,13,1,"6",21,"11","2015","midday","17","22",1,"Domestic Shorthair","Cream",0,"Female","baby"
"Jax","Cat","2555",1,14,30,"4",30,"7","2015","midday","4","16",1,"Russian Blue","Blue",0,"Male","adult"
