"AnimalType","AgeinDays","HasName","NameLength","Hour","Minute","Weekday","Day","Month","Year","TimeofDay","ColorComplexity","BreedComplexity","IsMix","IsSlash","SimpleBreed","SimpleColor","Intact","Sex","LifeStage","OutcomeType"
"Cat","365",1,"5",12,44,"7",13,"10","2013","midday","11","22","yes","no","Domestic Shorthair","Cream","no","Female","baby","Euthanasia"
"Cat","21",0,"8",19,9,"5",11,"7","2014","lateday","10","22","yes","no","Domestic Shorthair","Blue","yes","Male","baby","Transfer"
"Cat","21",1,"5",13,11,"6",28,"3","2015","midday","10","22","yes","no","Domestic Shorthair","Blue","yes","Male","baby","Transfer"
"Cat","21",0,"8",17,2,"4",30,"4","2015","lateday","11","22","yes","no","Domestic Shorthair","Brown","Unknown","Unknown","baby","Transfer"
"Cat","730",0,"8",15,50,"4",5,"12","2013","midday","5","22","yes","no","Domestic Shorthair","Black","Unknown","Unknown","nearly_baby","Transfer"
"Cat","90",1,"6",12,10,"6",12,"7","2014","midday","18","22","yes","no","Domestic Shorthair","Orange","no","Male","baby","Adoption"
"Cat","21",0,"8",16,15,"6",3,"5","2014","lateday","11","22","yes","no","Domestic Shorthair","Brown","yes","Male","baby","Transfer"
"Cat","730",1,"7",11,32,"6",17,"5","2014","night","5","10","yes","no","Angora","White","yes","Female","nearly_baby","Transfer"
"Cat","365",1,"8",15,19,"5",18,"9","2015","midday","5","22","yes","no","Domestic Shorthair","White","no","Female","baby","Transfer"
"Cat","30",1,"5",15,44,"6",3,"10","2015","midday","12","22","yes","no","Domestic Shorthair","Orange","yes","Female","baby","Transfer"
"Cat","60",1,"7",13,1,"6",21,"11","2015","midday","17","22","yes","no","Domestic Shorthair","Cream","no","Female","baby","Adoption"
"Cat","2555",1,"3",14,30,"4",30,"7","2015","midday","4","16","yes","no","Russian Blue","Blue","no","Male","adult","Return_to_owner"
"Cat","1095",0,"8",13,57,"5",1,"1","2016","midday","6","22","yes","no","Domestic Shorthair","Calico","no","Female","adult","Euthanasia"
"Cat","60",0,"8",17,1,"4",3,"7","2014","lateday","6","22","yes","no","Domestic Shorthair","Torbie","no","Female","baby","Adoption"
"Cat","60",0,"8",13,37,"3",2,"7","2014","midday","10","22","yes","no","Domestic Shorthair","Blue","yes","Male","baby","Transfer"
"Cat","120",1,"4",0,0,"2",11,"8","2015","night","11","22","yes","no","Domestic Shorthair","Black","no","Male","baby","Transfer"
"Cat","21",0,"8",12,16,"2",14,"7","2015","midday","11","22","yes","no","Domestic Shorthair","Brown","yes","Male","baby","Transfer"
"Cat","2555",1,"5",17,26,"6",4,"4","2015","lateday","10","22","yes","no","Domestic Shorthair","Blue","no","Female","adult","Adoption"
"Cat","60",0,"8",13,25,"2",23,"6","2015","midday","12","22","yes","no","Domestic Shorthair","Orange","yes","Male","baby","Transfer"
"Cat","60",1,"4",15,4,"1",9,"12","2013","midday","11","22","yes","no","Domestic Shorthair","Brown","yes","Female","baby","Transfer"
"Cat","1460",0,"8",15,15,"2",21,"1","2014","midday","11","21","yes","no","Domestic Longhair","Black","yes","Male","adult","Transfer"
