"AnimalType","AgeinDays","HasName","NameLength","Hour","Minute","Weekday","Day","Month","Year","TimeofDay","ColorComplexity","BreedComplexity","IsMix","IsSlash","SimpleBreed","SimpleColor","Intact","Sex","LifeStage","OutcomeType"
"Dog","365",1,"7",18,22,"3",12,"2","2014","lateday","11","21","yes","no","Shetland Sheepdog","Brown","no","Male","baby","Return_to_owner"
"Dog","730",1,"6",12,28,"6",31,"1","2015","midday","10","12","yes","no","Pit Bull","Blue","no","Male","nearly_baby","Adoption"
"Dog","730",0,"8",12,52,"5",15,"11","2013","midday","3","27","no","yes","Lhasa Apso","Tan","no","Male","nearly_baby","Transfer"
"Dog","30",1,"4",13,4,"5",25,"4","2014","midday","9","33","no","yes","Cairn Terrier","Black","yes","Female","baby","Transfer"
"Dog","150",1,"4",17,17,"2",4,"2","2014","lateday","9","29","yes","no","American Pit Bull Terrier","Red","no","Female","baby","Adoption"
"Dog","365",0,"8",7,48,"6",3,"5","2014","morning","5","13","no","no","Cairn Terrier","White","no","Female","baby","Adoption"
"Dog","730",0,"8",14,48,"1",4,"11","2013","midday","6","23","yes","no","Miniature Schnauzer","Silver","no","Female","nearly_baby","Adoption"
"Dog","1460",1,"6",11,27,"3",3,"2","2016","night","5","12","yes","no","Pit Bull","Brown","no","Male","adult","Adoption"
"Dog","730",1,"7",16,30,"1",8,"6","2015","lateday","9","21","yes","no","Yorkshire Terrier","Black","no","Male","nearly_baby","Return_to_owner"
"Dog","365",1,"7",15,0,"3",25,"11","2015","midday","11","18","yes","no","Great Pyrenees","White","no","Male","baby","Return_to_owner"
"Dog","14",0,"8",12,54,"6",7,"6","2014","midday","11","12","yes","no","Pit Bull","Brown","yes","Female","baby","Transfer"
"Dog","365",1,"4",17,34,"3",30,"7","2014","lateday","5","23","yes","no","Flat Coat Retriever","Black","no","Male","baby","Return_to_owner"
"Dog","60",1,"6",15,3,"7",19,"1","2014","midday","11","21","yes","no","Queensland Heeler","Black","yes","Male","baby","Transfer"
"Dog","730",1,"7",14,22,"6",15,"8","2015","midday","19","17","no","yes","Plott Hound","Brown","no","Female","nearly_baby","Adoption"
"Dog","300",1,"7",16,32,"1",28,"10","2013","lateday","11","19","yes","no","German Shepherd","Brown","no","Male","baby","Adoption"
"Dog","60",1,"7",17,44,"3",9,"4","2014","lateday","11","19","yes","no","German Shepherd","Black","no","Male","baby","Return_to_owner"
"Dog","180",1,"3",17,31,"5",15,"1","2016","lateday","15","34","yes","no","American Staffordshire Terrier","Chocolate","no","Female","baby","Adoption"
"Dog","1825",1,"5",18,50,"3",25,"3","2015","lateday","9","23","yes","no","Chihuahua Shorthair","White","no","Female","adult","Adoption"
"Dog","120",1,"6",15,25,"3",15,"7","2015","midday","11","22","yes","no","Labrador Retriever","Black","yes","Male","baby","Transfer"
"Dog","1825",1,"5",13,24,"5",8,"11","2013","midday","11","29","no","yes","Collie Smooth","Brown","no","Male","adult","Return_to_owner"
"Dog","1095",1,"7",16,1,"6",11,"4","2015","lateday","5","23","yes","no","Chihuahua Shorthair","Brown","no","Male","adult","Transfer"
"Dog","1095",0,"8",14,55,"5",6,"12","2013","midday","6","22","yes","no","Labrador Retriever","Yellow","yes","Male","adult","Euthanasia"
"Dog","1095",1,"8",11,22,"4",24,"10","2013","night","11","12","yes","no","Pit Bull","Brown","no","Male","adult","Return_to_owner"
"Dog","4380",1,"7",7,50,"3",27,"8","2014","morning","8","6","no","no","Beagle","Tricolor","no","Male","adult","Return_to_owner"
"Dog","150",1,"5",17,57,"1",9,"3","2015","lateday","11","19","yes","no","German Shepherd","Black","no","Female","baby","Adoption"
"Dog","2190",0,"8",15,37,"3",30,"10","2013","midday","15","27","no","yes","Pit Bull","Chocolate","yes","Male","adult","Euthanasia"
"Dog","730",1,"4",12,7,"4",14,"5","2015","midday","10","13","yes","no","Blue Lacy","Gray","no","Male","nearly_baby","Adoption"
