"Name","AnimalType","AgeinDays","HasName","Hour","Minute","Weekday","Day","Month","Year","TimeofDay","ColorComplexity","BreedComplexity","IsMix","SimpleBreed","SimpleColor","Intact","Sex","LifeStage","OutcomeType"
"Hambone","Dog","365",1,18,22,"3",12,"2","2014","lateday","11","21",1,"Shetland Sheepdog","Brown",0,"Male","baby","Return_to_owner"
"Emily","Cat","365",1,12,44,"7",13,"10","2013","midday","11","22",1,"Domestic Shorthair","Cream",0,"Female","baby","Euthanasia"
"Pearce","Dog","730",1,12,28,"6",31,"1","2015","midday","10","12",1,"Pit Bull","Blue",0,"Male","adult","Adoption"
"Nameless","Cat","21",0,19,9,"5",11,"7","2014","lateday","10","22",1,"Domestic Shorthair","Blue",1,"Male","baby","Transfer"
"Nameless","Dog","730",0,12,52,"5",15,"11","2013","midday","3","27",1,"Lhasa Apso","Tan",0,"Male","adult","Transfer"
"Elsa","Dog","30",1,13,4,"5",25,"4","2014","midday","9","33",1,"Cairn Terrier","Black",1,"Female","baby","Transfer"
"Jimmy","Cat","21",1,13,11,"6",28,"3","2015","midday","10","22",1,"Domestic Shorthair","Blue",1,"Male","baby","Transfer"
"Nameless","Cat","21",0,17,2,"4",30,"4","2015","lateday","11","22",1,"Domestic Shorthair","Brown",3,"Unknown","baby","Transfer"
"Lucy","Dog","150",1,17,17,"2",4,"2","2014","lateday","9","29",1,"American Pit Bull Terrier","Red",0,"Female","baby","Adoption"
"Nameless","Dog","365",0,7,48,"6",3,"5","2014","morning","5","13",0,"Cairn Terrier","White",0,"Female","baby","Adoption"
"Nameless","Cat","730",0,15,50,"4",5,"12","2013","midday","5","22",1,"Domestic Shorthair","Black",3,"Unknown","adult","Transfer"
"Nameless","Dog","730",0,14,48,"1",4,"11","2013","midday","6","23",1,"Miniature Schnauzer","Silver",0,"Female","adult","Adoption"
"Rocket","Dog","1460",1,11,27,"3",3,"2","2016","night","5","12",1,"Pit Bull","Brown",0,"Male","adult","Adoption"
"Scooter","Dog","730",1,16,30,"1",8,"6","2015","lateday","9","21",1,"Yorkshire Terrier","Black",0,"Male","adult","Return_to_owner"
"Preston","Dog","365",1,15,0,"3",25,"11","2015","midday","11","18",1,"Great Pyrenees","White",0,"Male","baby","Return_to_owner"
"Oliver","Cat","90",1,12,10,"6",12,"7","2014","midday","18","22",1,"Domestic Shorthair","Orange",0,"Male","baby","Adoption"
"Nameless","Cat","21",0,16,15,"6",3,"5","2014","lateday","11","22",1,"Domestic Shorthair","Brown",1,"Male","baby","Transfer"
"Nameless","Dog","14",0,12,54,"6",7,"6","2014","midday","11","12",1,"Pit Bull","Brown",1,"Female","baby","Transfer"
"Chrissy","Cat","730",1,11,32,"6",17,"5","2014","night","5","10",1,"Angora","White",1,"Female","adult","Transfer"
"Kuma","Dog","365",1,17,34,"3",30,"7","2014","lateday","5","23",1,"Flat Coat Retriever","Black",0,"Male","baby","Return_to_owner"
"Anders","Dog","60",1,15,3,"7",19,"1","2014","midday","11","21",1,"Queensland Heeler","Black",1,"Male","baby","Transfer"
"Munchkin","Cat","365",1,15,19,"5",18,"9","2015","midday","5","22",1,"Domestic Shorthair","White",0,"Female","baby","Transfer"
"Jamaica","Dog","730",1,14,22,"6",15,"8","2015","midday","19","17",1,"Plott Hound","Brown",0,"Female","adult","Adoption"
