"ID","Adoption","Died","Euthanasia","Return_to_owner","Transfer"
1,0.2,0.0,0.1,0.2,0.5
2,0.8,0.0,0.0,0.1,0.1
3,0.4,0.0,0.0,0.1,0.5
4,0.8,0.0,0.0,0.1,0.1
5,0.4,0.0,0.0,0.6,0.0
6,0.2,0.0,0.0,0.7,0.1
7,0.4,0.1,0.3,0.0,0.2
8,0.6,0.0,0.0,0.0,0.4
9,1.0,0.0,0.0,0.0,0.0
10,0.7,0.0,0.0,0.3,0.0
11,1.0,0.0,0.0,0.0,0.0
12,0.1,0.0,0.2,0.2,0.5
13,0.7,0.0,0.0,0.1,0.2
14,0.9,0.0,0.0,0.0,0.1
15,1.0,0.0,0.0,0.0,0.0
16,0.8,0.0,0.0,0.0,0.2
17,0.3,0.0,0.0,0.6,0.1
18,0.5,0.0,0.0,0.5,0.0
19,0.2,0.0,0.0,0.2,0.6
20,0.0,0.0,0.5,0.0,0.5
21,0.7,0.0,0.0,0.1,0.2
22,0.0,0.0,0.0,0.0,1.0
23,0.8,0.0,0.0,0.2,0.0
24,0.0,0.0,0.0,0.0,1.0
25,0.6,0.0,0.0,0.1,0.3
26,0.2,0.0,0.0,0.0,0.8
27,0.7,0.0,0.0,0.2,0.1
28,0.1,0.0,0.1,0.0,0.8
29,0.5,0.0,0.0,0.4,0.1
30,0.4,0.0,0.0,0.6,0.0
31,0.1,0.0,0.1,0.3,0.5
32,0.9,0.0,0.0,0.0,0.1
33,0.2,0.0,0.0,0.0,0.8
34,1.0,0.0,0.0,0.0,0.0
35,0.6,0.0,0.0,0.0,0.4
36,0.4,0.0,0.0,0.3,0.3
37,0.0,0.0,0.0,0.0,1.0
38,1.0,0.0,0.0,0.0,0.0
39,0.3,0.0,0.1,0.6,0.0
40,0.4,0.0,0.0,0.2,0.4
41,0.4,0.0,0.1,0.4,0.1
42,0.0,0.0,0.0,0.0,1.0
43,0.8,0.0,0.0,0.1,0.1
44,0.0,0.0,0.0,0.0,1.0
45,0.3,0.0,0.1,0.0,0.6
46,0.4,0.0,0.0,0.0,0.6
47,0.4,0.0,0.0,0.1,0.5
48,0.8,0.0,0.0,0.0,0.2
49,0.2,0.0,0.1,0.5,0.2
50,0.2,0.0,0.0,0.1,0.7
51,0.4,0.0,0.1,0.0,0.5
52,0.3,0.0,0.0,0.6,0.1
53,0.9,0.0,0.0,0.0,0.1
54,0.2,0.1,0.1,0.0,0.6
55,0.0,0.0,0.6,0.0,0.4
56,0.6,0.0,0.1,0.2,0.1
57,0.7,0.0,0.0,0.3,0.0
58,0.0,0.0,0.0,0.0,1.0
59,0.0,0.1,0.0,0.0,0.9
60,0.9,0.0,0.0,0.0,0.1
61,0.6,0.0,0.0,0.1,0.3
62,0.2,0.0,0.1,0.1,0.6
63,0.6,0.0,0.1,0.0,0.3
64,0.0,0.0,0.0,0.0,1.0
65,0.0,0.0,0.0,0.0,1.0
66,0.9,0.0,0.0,0.1,0.0
67,0.9,0.0,0.0,0.0,0.1
68,0.0,0.0,0.2,0.5,0.3
