"ID","Name","OutcomeType","AnimalType","SexuponOutcome","Breed","Color","isTrain","AgeinDays","NameNoName","Year","Month","Day","Hour","Minute","DayOfTheWeek","WeekEnd","Situation","Sex","DayPhase","Mix","Domestic","Hair","ParticularBreed","ParticularBreedLogical","LifePhase"
"A656520","Emily","Euthanasia","Cat","Spayed Female","Domestic Shorthair Mix","Cream Tabby",TRUE,"365","TRUE","2013","10","13","12","44","1","TRUE","Spayed","Female","afternoon","TRUE","TRUE","shorthair","None","FALSE","junior"
"A683430","","Transfer","Cat","Intact Male","Domestic Shorthair Mix","Blue Cream",TRUE,"21","FALSE","2014","07","11","19","09","6","FALSE","Intact","Male","afternoon","TRUE","TRUE","shorthair","None","FALSE","kitten"
"A699218","Jimmy","Transfer","Cat","Intact Male","Domestic Shorthair Mix","Blue Tabby",TRUE,"21","TRUE","2015","03","28","13","11","7","TRUE","Intact","Male","afternoon","TRUE","TRUE","shorthair","None","FALSE","kitten"
"A701489","","Transfer","Cat","Unknown Unknown","Domestic Shorthair Mix","Brown Tabby",TRUE,"21","FALSE","2015","04","30","17","02","5","FALSE","Unknown","Unknown","afternoon","TRUE","TRUE","shorthair","None","FALSE","kitten"
"A668402","","Transfer","Cat","Unknown Unknown","Domestic Shorthair Mix","Black",TRUE,"730","FALSE","2013","12","05","15","50","5","FALSE","Unknown","Unknown","afternoon","TRUE","TRUE","shorthair","None","FALSE","prime"
"A678825","Oliver","Adoption","Cat","Neutered Male","Domestic Shorthair Mix","Orange Tabby/White",TRUE,"90","TRUE","2014","07","12","12","10","7","TRUE","Neutered","Male","afternoon","TRUE","TRUE","shorthair","None","FALSE","kitten"
"A678050","","Transfer","Cat","Intact Male","Domestic Shorthair Mix","Brown Tabby",TRUE,"21","FALSE","2014","05","03","16","15","7","TRUE","Intact","Male","afternoon","TRUE","TRUE","shorthair","None","FALSE","kitten"
"A679010","Chrissy","Transfer","Cat","Intact Female","Angora Mix","White",TRUE,"730","TRUE","2014","05","17","11","32","7","TRUE","Intact","Female","morning","TRUE","FALSE","None","angora","TRUE","prime"
"A708812","Munchkin","Transfer","Cat","Spayed Female","Domestic Shorthair Mix","White",TRUE,"365","TRUE","2015","09","18","15","19","6","FALSE","Spayed","Female","afternoon","TRUE","TRUE","shorthair","None","FALSE","junior"
"A712750","Olive","Transfer","Cat","Intact Female","Domestic Shorthair Mix","Orange Tabby",TRUE,"30","TRUE","2015","10","03","15","44","7","TRUE","Intact","Female","afternoon","TRUE","TRUE","shorthair","None","FALSE","kitten"
"A715348","Cymbale","Adoption","Cat","Spayed Female","Domestic Shorthair Mix","Cream Tabby/White",TRUE,"60","TRUE","2015","11","21","13","01","7","TRUE","Spayed","Female","afternoon","TRUE","TRUE","shorthair","None","FALSE","kitten"
"A708666","Jax","Return_to_owner","Cat","Neutered Male","Russian Blue Mix","Blue",TRUE,"2555","TRUE","2015","07","30","14","30","5","FALSE","Neutered","Male","afternoon","TRUE","FALSE","None","russianblue","TRUE","mature"
"A718535","","Euthanasia","Cat","Spayed Female","Domestic Shorthair Mix","Calico",TRUE,"1095","FALSE","2016","01","01","13","57","6","FALSE","Spayed","Female","afternoon","TRUE","TRUE","shorthair","None","FALSE","prime"
"A682532","","Adoption","Cat","Spayed Female","Domestic Shorthair Mix","Torbie",TRUE,"60","FALSE","2014","07","03","17","01","5","FALSE","Spayed","Female","afternoon","TRUE","TRUE","shorthair","None","FALSE","kitten"
"A682413","","Transfer","Cat","Intact Male","Domestic Shorthair Mix","Blue/White",TRUE,"60","FALSE","2014","07","02","13","37","4","FALSE","Intact","Male","afternoon","TRUE","TRUE","shorthair","None","FALSE","kitten"
"A702655","Mica","Transfer","Cat","Neutered Male","Domestic Shorthair Mix","Black/White",TRUE,"120","TRUE","2015","08","11","00","00","3","FALSE","Neutered","Male","night","TRUE","TRUE","shorthair","None","FALSE","kitten"
"A707503","","Transfer","Cat","Intact Male","Domestic Shorthair Mix","Brown Tabby",TRUE,"21","FALSE","2015","07","14","12","16","3","FALSE","Intact","Male","afternoon","TRUE","TRUE","shorthair","None","FALSE","kitten"
"A697199","Pilar","Adoption","Cat","Spayed Female","Domestic Shorthair Mix","Blue Tabby",TRUE,"2555","TRUE","2015","04","04","17","26","7","TRUE","Spayed","Female","afternoon","TRUE","TRUE","shorthair","None","FALSE","mature"
"A705598","","Transfer","Cat","Intact Male","Domestic Shorthair Mix","Orange Tabby",TRUE,"60","FALSE","2015","06","23","13","25","3","FALSE","Intact","Male","afternoon","TRUE","TRUE","shorthair","None","FALSE","kitten"
"A668388","Lucy","Transfer","Cat","Intact Female","Domestic Shorthair Mix","Brown Tabby",TRUE,"60","TRUE","2013","12","09","15","04","2","FALSE","Intact","Female","afternoon","TRUE","TRUE","shorthair","None","FALSE","kitten"
"A671181","","Transfer","Cat","Intact Male","Domestic Longhair Mix","Black/White",TRUE,"1460","FALSE","2014","01","21","15","15","3","FALSE","Intact","Male","afternoon","TRUE","TRUE","longhair","None","FALSE","prime"
"A676766","Ali","Adoption","Cat","Neutered Male","Domestic Shorthair Mix","Black/White",TRUE,"730","TRUE","2014","05","28","15","52","4","FALSE","Neutered","Male","afternoon","TRUE","TRUE","shorthair","None","FALSE","prime"
"A684475","Daisy","Return_to_owner","Cat","Spayed Female","Domestic Shorthair Mix","White/Black",TRUE,"3285","TRUE","2014","08","05","11","15","3","FALSE","Spayed","Female","morning","TRUE","TRUE","shorthair","None","FALSE","mature"
"A701804","","Transfer","Cat","Intact Female","Domestic Shorthair Mix","Black",TRUE,"21","FALSE","2015","05","05","11","46","3","FALSE","Intact","Female","morning","TRUE","TRUE","shorthair","None","FALSE","kitten"
"A684050","","Transfer","Cat","Intact Female","Domestic Shorthair Mix","Tortie",TRUE,"365","FALSE","2014","07","28","09","00","2","FALSE","Intact","Female","morning","TRUE","TRUE","shorthair","None","FALSE","junior"
"A710107","Caty","Adoption","Cat","Spayed Female","Domestic Shorthair Mix","Brown Tabby",TRUE,"90","TRUE","2015","10","19","18","58","2","FALSE","Spayed","Female","afternoon","TRUE","TRUE","shorthair","None","FALSE","kitten"
"A682347","","Transfer","Cat","Intact Female","Domestic Shorthair Mix","Blue Tabby/White",TRUE,"21","FALSE","2014","06","26","17","16","5","FALSE","Intact","Female","afternoon","TRUE","TRUE","shorthair","None","FALSE","kitten"
"A690902","Beth","Adoption","Cat","Spayed Female","Domestic Shorthair Mix","Orange Tabby/White",TRUE,"60","TRUE","2014","11","18","16","05","3","FALSE","Spayed","Female","afternoon","TRUE","TRUE","shorthair","None","FALSE","kitten"
"A712979","","Transfer","Cat","Intact Male","Domestic Shorthair Mix","Black",TRUE,"7","FALSE","2015","10","04","15","02","1","TRUE","Intact","Male","afternoon","TRUE","TRUE","shorthair","None","FALSE","kitten"
"A707687","Bashful","Adoption","Cat","Spayed Female","Domestic Shorthair Mix","Calico",TRUE,"60","TRUE","2015","08","16","13","52","1","TRUE","Spayed","Female","afternoon","TRUE","TRUE","shorthair","None","FALSE","kitten"
"A709863","Orangejello","Transfer","Cat","Intact Male","Domestic Shorthair Mix","Orange Tabby/White",TRUE,"365","TRUE","2015","08","19","13","32","4","FALSE","Intact","Male","afternoon","TRUE","TRUE","shorthair","None","FALSE","junior"
"A713029","Wilma","Transfer","Cat","Intact Female","Domestic Shorthair Mix","Black",TRUE,"30","TRUE","2015","10","06","15","07","3","FALSE","Intact","Female","afternoon","TRUE","TRUE","shorthair","None","FALSE","kitten"
"A683961","","Transfer","Cat","Unknown Unknown","Domestic Shorthair Mix","Black",TRUE,"14","FALSE","2014","07","17","17","31","5","FALSE","Unknown","Unknown","afternoon","TRUE","TRUE","shorthair","None","FALSE","kitten"
"A705258","","Transfer","Cat","Unknown Unknown","Domestic Shorthair Mix","Brown Tabby/White",TRUE,"60","FALSE","2015","06","16","09","00","3","FALSE","Unknown","Unknown","morning","TRUE","TRUE","shorthair","None","FALSE","kitten"
"A706446","Tootsie","Return_to_owner","Cat","Intact Female","Domestic Shorthair Mix","Black",TRUE,"365","TRUE","2015","08","18","11","32","3","FALSE","Intact","Female","morning","TRUE","TRUE","shorthair","None","FALSE","junior"
"A681410","Nym","Adoption","Cat","Spayed Female","Domestic Longhair","Brown Tabby",TRUE,"90","TRUE","2014","06","22","17","22","1","TRUE","Spayed","Female","afternoon","FALSE","TRUE","longhair","None","FALSE","kitten"
"A675021","","Euthanasia","Cat","Intact Female","Domestic Shorthair Mix","Calico",TRUE,"365","FALSE","2014","03","21","17","09","6","FALSE","Intact","Female","afternoon","TRUE","TRUE","shorthair","None","FALSE","junior"
"A717839","","Transfer","Cat","Spayed Female","Domestic Shorthair Mix","Black/White",TRUE,"730","FALSE","2015","12","20","19","38","1","TRUE","Spayed","Female","afternoon","TRUE","TRUE","shorthair","None","FALSE","prime"
"A712376","","Euthanasia","Cat","Unknown Unknown","Domestic Shorthair Mix","Blue Tabby",TRUE,"14","FALSE","2015","09","22","12","10","3","FALSE","Unknown","Unknown","afternoon","TRUE","TRUE","shorthair","None","FALSE","kitten"
"A703952","Taco","Transfer","Cat","Unknown Unknown","Siamese Mix","Seal Point",TRUE,"28","TRUE","2015","05","30","18","56","7","TRUE","Unknown","Unknown","afternoon","TRUE","FALSE","None","siamese","TRUE","kitten"
"A713690","","Transfer","Cat","Intact Male","Domestic Shorthair Mix","Blue Tabby",TRUE,"730","FALSE","2015","10","12","09","00","2","FALSE","Intact","Male","morning","TRUE","TRUE","shorthair","None","FALSE","prime"
"A704754","Arthur","Adoption","Cat","Neutered Male","Domestic Shorthair Mix","Black",TRUE,"60","TRUE","2015","07","18","15","37","7","TRUE","Neutered","Male","afternoon","TRUE","TRUE","shorthair","None","FALSE","kitten"
"A707531","","Transfer","Cat","Intact Male","Domestic Shorthair Mix","Black",TRUE,"14","FALSE","2015","07","14","15","04","3","FALSE","Intact","Male","afternoon","TRUE","TRUE","shorthair","None","FALSE","kitten"
"A667155","","Adoption","Cat","Spayed Female","Domestic Medium Hair Mix","Calico",TRUE,"90","FALSE","2013","11","18","15","56","2","FALSE","Spayed","Female","afternoon","TRUE","TRUE","mediumhair","None","FALSE","kitten"
"A688443","Thelma","Adoption","Cat","Spayed Female","Domestic Shorthair Mix","Black",TRUE,"120","TRUE","2014","12","29","15","11","2","FALSE","Spayed","Female","afternoon","TRUE","TRUE","shorthair","None","FALSE","kitten"
"A683416","","Adoption","Cat","Neutered Male","Domestic Shorthair Mix","Black/White",TRUE,"60","FALSE","2014","07","14","19","28","2","FALSE","Neutered","Male","afternoon","TRUE","TRUE","shorthair","None","FALSE","kitten"
"A690658","","Transfer","Cat","Intact Male","Domestic Shorthair Mix","Black/White",TRUE,"1095","FALSE","2014","10","24","09","00","6","FALSE","Intact","Male","morning","TRUE","TRUE","shorthair","None","FALSE","prime"
"A665298","","Transfer","Cat","Intact Female","Domestic Medium Hair Mix","Blue",TRUE,"14","FALSE","2013","10","16","11","50","4","FALSE","Intact","Female","morning","TRUE","TRUE","mediumhair","None","FALSE","kitten"
"A708351","","Transfer","Cat","Unknown Unknown","Domestic Shorthair Mix","Black",TRUE,"14","FALSE","2015","07","26","14","40","1","TRUE","Unknown","Unknown","afternoon","TRUE","TRUE","shorthair","None","FALSE","kitten"
"A670681","Matty","Transfer","Cat","Spayed Female","Domestic Shorthair Mix","Torbie",TRUE,"1460","TRUE","2014","01","30","14","41","5","FALSE","Spayed","Female","afternoon","TRUE","TRUE","shorthair","None","FALSE","prime"
"A707767","Lilly","Adoption","Cat","Neutered Male","Domestic Shorthair Mix","Brown Tabby",TRUE,"60","TRUE","2015","07","19","18","27","1","TRUE","Neutered","Male","afternoon","TRUE","TRUE","shorthair","None","FALSE","kitten"
"A678229","","Transfer","Cat","Intact Male","Domestic Shorthair Mix","Brown Tabby",TRUE,"21","FALSE","2014","05","06","15","59","3","FALSE","Intact","Male","afternoon","TRUE","TRUE","shorthair","None","FALSE","kitten"
"A695971","","Euthanasia","Cat","Intact Male","Domestic Shorthair Mix","Orange Tabby",TRUE,"2190","FALSE","2015","01","26","16","23","2","FALSE","Intact","Male","afternoon","TRUE","TRUE","shorthair","None","FALSE","prime"
"A713968","Katydid","Transfer","Cat","Intact Female","Domestic Longhair Mix","Calico",TRUE,"30","TRUE","2015","10","24","18","29","7","TRUE","Intact","Female","afternoon","TRUE","TRUE","longhair","None","FALSE","kitten"
"A691968","","Euthanasia","Cat","Intact Female","Domestic Shorthair Mix","Tortie",TRUE,"2555","FALSE","2014","11","14","11","57","6","FALSE","Intact","Female","morning","TRUE","TRUE","shorthair","None","FALSE","mature"
"A688871","Pandora","Adoption","Cat","Intact Female","Domestic Shorthair Mix","Black",TRUE,"60","TRUE","2014","10","03","18","43","6","FALSE","Intact","Female","afternoon","TRUE","TRUE","shorthair","None","FALSE","kitten"
"A686520","","Transfer","Cat","Intact Male","Domestic Shorthair Mix","Brown Tabby",TRUE,"90","FALSE","2014","08","24","09","00","1","TRUE","Intact","Male","morning","TRUE","TRUE","shorthair","None","FALSE","kitten"
"A713977","Jumbly","Return_to_owner","Cat","Spayed Female","Domestic Shorthair Mix","Calico",TRUE,"1095","TRUE","2015","10","26","18","39","2","FALSE","Spayed","Female","afternoon","TRUE","TRUE","shorthair","None","FALSE","prime"
"A679102","Merlin","Transfer","Cat","Neutered Male","Siamese Mix","Flame Point",TRUE,"730","TRUE","2014","06","10","16","41","3","FALSE","Neutered","Male","afternoon","TRUE","FALSE","None","siamese","TRUE","prime"
"A681481","","Transfer","Cat","Intact Female","Domestic Shorthair Mix","Blue/White",TRUE,"730","FALSE","2014","06","18","09","00","4","FALSE","Intact","Female","morning","TRUE","TRUE","shorthair","None","FALSE","prime"
"A714177","","Transfer","Cat","Unknown Unknown","Domestic Shorthair Mix","Tortie",TRUE,"90","FALSE","2015","10","20","09","00","3","FALSE","Unknown","Unknown","morning","TRUE","TRUE","shorthair","None","FALSE","kitten"
"A685062","","Adoption","Cat","Neutered Male","Domestic Shorthair Mix","Orange Tabby/White",TRUE,"60","FALSE","2014","08","05","13","20","3","FALSE","Neutered","Male","afternoon","TRUE","TRUE","shorthair","None","FALSE","kitten"
"A672453","","Adoption","Cat","Neutered Male","Domestic Medium Hair Mix","Cream Tabby",TRUE,"300","FALSE","2014","02","16","19","38","1","TRUE","Neutered","Male","afternoon","TRUE","TRUE","mediumhair","None","FALSE","junior"
"A719480","Ricky","Transfer","Cat","Spayed Female","Domestic Medium Hair Mix","Brown Tabby/White",TRUE,"730","TRUE","2016","02","09","16","31","3","FALSE","Spayed","Female","afternoon","TRUE","TRUE","mediumhair","None","FALSE","prime"
"A702880","Tom","Adoption","Cat","Spayed Female","Domestic Medium Hair Mix","Calico",TRUE,"60","TRUE","2015","06","28","15","33","1","TRUE","Spayed","Female","afternoon","TRUE","TRUE","mediumhair","None","FALSE","kitten"
"A711853","Nala","Adoption","Cat","Spayed Female","Domestic Shorthair Mix","Brown Tabby",TRUE,"60","TRUE","2015","11","07","19","14","7","TRUE","Spayed","Female","afternoon","TRUE","TRUE","shorthair","None","FALSE","kitten"
"A679915","Luna","Adoption","Cat","Spayed Female","Domestic Shorthair Mix","Black/White",TRUE,"365","TRUE","2014","06","01","17","48","1","TRUE","Spayed","Female","afternoon","TRUE","TRUE","shorthair","None","FALSE","junior"
"A687991","","Transfer","Cat","Intact Male","Domestic Shorthair Mix","Calico",TRUE,"21","FALSE","2014","09","12","18","38","6","FALSE","Intact","Male","afternoon","TRUE","TRUE","shorthair","None","FALSE","kitten"
"A707896","Tokyo","Adoption","Cat","Neutered Male","Domestic Shorthair Mix","Brown Tabby",TRUE,"730","TRUE","2016","02","19","14","58","6","FALSE","Neutered","Male","afternoon","TRUE","TRUE","shorthair","None","FALSE","prime"
"A682599","Shiva","Adoption","Cat","Spayed Female","Domestic Longhair","Calico",TRUE,"120","TRUE","2014","07","03","18","45","5","FALSE","Spayed","Female","afternoon","FALSE","TRUE","longhair","None","FALSE","kitten"
"A688067","","Transfer","Cat","Intact Female","Domestic Shorthair Mix","Torbie",TRUE,"150","FALSE","2014","09","15","09","00","2","FALSE","Intact","Female","morning","TRUE","TRUE","shorthair","None","FALSE","kitten"
"A714069","Jupiter","Adoption","Cat","Neutered Male","Domestic Shorthair Mix","Black Tabby/White",TRUE,"60","TRUE","2015","12","16","11","28","4","FALSE","Neutered","Male","morning","TRUE","TRUE","shorthair","None","FALSE","kitten"
"A717167","Oscar","Adoption","Cat","Neutered Male","Domestic Shorthair Mix","Black/White",TRUE,"1460","TRUE","2016","01","23","16","05","7","TRUE","Neutered","Male","afternoon","TRUE","TRUE","shorthair","None","FALSE","prime"
"A711639","","Transfer","Cat","Intact Female","Domestic Shorthair Mix","Tortie/Calico",TRUE,"21","FALSE","2015","09","10","11","35","5","FALSE","Intact","Female","morning","TRUE","TRUE","shorthair","None","FALSE","kitten"
"A707437","","Adoption","Cat","Neutered Male","Domestic Shorthair Mix","Black",TRUE,"60","FALSE","2015","07","19","17","26","1","TRUE","Neutered","Male","afternoon","TRUE","TRUE","shorthair","None","FALSE","kitten"
"A706387","Sugar","Adoption","Cat","Spayed Female","Domestic Shorthair Mix","Blue Tabby/White",TRUE,"30","TRUE","2015","07","06","18","05","2","FALSE","Spayed","Female","afternoon","TRUE","TRUE","shorthair","None","FALSE","kitten"
"A679341","Jethro","Transfer","Cat","Intact Male","Domestic Shorthair Mix","Brown Tabby",TRUE,"30","TRUE","2014","05","31","13","58","7","TRUE","Intact","Male","afternoon","TRUE","TRUE","shorthair","None","FALSE","kitten"
"A690519","","Transfer","Cat","Intact Male","Domestic Shorthair Mix","Blue Tabby",TRUE,"120","FALSE","2014","10","23","09","00","5","FALSE","Intact","Male","morning","TRUE","TRUE","shorthair","None","FALSE","kitten"
"A666444","August","Transfer","Cat","Spayed Female","Domestic Shorthair Mix","Tortie",TRUE,"4015","TRUE","2013","11","04","15","50","2","FALSE","Spayed","Female","afternoon","TRUE","TRUE","shorthair","None","FALSE","senior"
"A710071","Herb","Transfer","Cat","Neutered Male","Domestic Shorthair Mix","White/Black",TRUE,"60","TRUE","2015","09","01","00","00","3","FALSE","Neutered","Male","night","TRUE","TRUE","shorthair","None","FALSE","kitten"
"A714602","Stripey","Adoption","Cat","Intact Female","Domestic Shorthair Mix","Brown Tabby",TRUE,"60","TRUE","2015","10","29","18","44","5","FALSE","Intact","Female","afternoon","TRUE","TRUE","shorthair","None","FALSE","kitten"
"A679441","","Transfer","Cat","Intact Male","Domestic Shorthair Mix","Cream Tabby/White",TRUE,"4","FALSE","2014","05","21","13","47","4","FALSE","Intact","Male","afternoon","TRUE","TRUE","shorthair","None","FALSE","kitten"
"A687336","","Transfer","Cat","Intact Female","Domestic Medium Hair Mix","Brown Tabby",TRUE,"28","FALSE","2014","09","03","18","51","4","FALSE","Intact","Female","afternoon","TRUE","TRUE","mediumhair","None","FALSE","kitten"
"A713364","Calypso","Transfer","Cat","Intact Female","Domestic Shorthair Mix","Black/White",TRUE,"365","TRUE","2015","11","13","11","53","6","FALSE","Intact","Female","morning","TRUE","TRUE","shorthair","None","FALSE","junior"
