"ID","Name","OutcomeType","AnimalType","SexuponOutcome","Breed","Color","isTrain","AgeinDays","NameNoName","Year","Month","Day","Hour","Minute","DayOfTheWeek","WeekEnd","Situation","Sex","DayPhase","BreedSimplified","LifePhase"
"A671945","Hambone","Return_to_owner","Dog","Neutered Male","ShetlandSheepdogMix","Brown/White",TRUE,"365","TRUE","2014","02","12","18","22","4","FALSE","Neutered","Male","afternoon","Mix","adolescent"
"A686464","Pearce","Adoption","Dog","Neutered Male","PitBullMix","Blue/White",TRUE,"730","TRUE","2015","01","31","12","28","7","TRUE","Neutered","Male","afternoon","Mix","adult"
"A667013","","Transfer","Dog","Neutered Male","LhasaApso/MiniaturePoodle","Tan",TRUE,"730","FALSE","2013","11","15","12","52","6","FALSE","Neutered","Male","afternoon","Hybrid","adult"
"A677334","Elsa","Transfer","Dog","Intact Female","CairnTerrier/ChihuahuaShorthair","Black/Tan",TRUE,"30","TRUE","2014","04","25","13","04","6","FALSE","Intact","Female","afternoon","Hybrid","gestation"
"A671784","Lucy","Adoption","Dog","Spayed Female","AmericanPitBullTerrierMix","Red/White",TRUE,"150","TRUE","2014","02","04","17","17","3","FALSE","Spayed","Female","afternoon","Mix","puppy"
"A677747","","Adoption","Dog","Spayed Female","CairnTerrier","White",TRUE,"365","FALSE","2014","05","03","07","48","7","TRUE","Spayed","Female","morning","Pure","adolescent"
"A666320","","Adoption","Dog","Spayed Female","MiniatureSchnauzerMix","Silver",TRUE,"730","FALSE","2013","11","04","14","48","2","FALSE","Spayed","Female","afternoon","Mix","adult"
"A684601","Rocket","Adoption","Dog","Neutered Male","PitBullMix","Brown",TRUE,"1460","TRUE","2016","02","03","11","27","4","FALSE","Neutered","Male","morning","Mix","adult"
"A704702","Scooter","Return_to_owner","Dog","Neutered Male","YorkshireTerrierMix","Black/Red",TRUE,"730","TRUE","2015","06","08","16","30","2","FALSE","Neutered","Male","afternoon","Mix","adult"
"A688584","Preston","Return_to_owner","Dog","Neutered Male","GreatPyreneesMix","White/Cream",TRUE,"365","TRUE","2015","11","25","15","00","4","FALSE","Neutered","Male","afternoon","Mix","adolescent"
"A680028","","Transfer","Dog","Intact Female","PitBullMix","Brown/White",TRUE,"14","FALSE","2014","06","07","12","54","7","TRUE","Intact","Female","afternoon","Mix","gestation"
"A684787","Kuma","Return_to_owner","Dog","Neutered Male","FlatCoatRetrieverMix","Black",TRUE,"365","TRUE","2014","07","30","17","34","4","FALSE","Neutered","Male","afternoon","Mix","adolescent"
"A670658","Anders","Transfer","Dog","Intact Male","QueenslandHeelerMix","Black/White",TRUE,"60","TRUE","2014","01","19","15","03","1","TRUE","Intact","Male","afternoon","Mix","gestation"
"A705262","Jamaica","Adoption","Dog","Spayed Female","PlottHound/Boxer","Brown Brindle/White",TRUE,"730","TRUE","2015","08","15","14","22","7","TRUE","Spayed","Female","afternoon","Hybrid","adult"
"A665781","Quattro","Adoption","Dog","Neutered Male","GermanShepherdMix","Brown/White",TRUE,"300","TRUE","2013","10","28","16","32","2","FALSE","Neutered","Male","afternoon","Mix","puppy"
"A676333","Trigger","Return_to_owner","Dog","Neutered Male","GermanShepherdMix","Black/Brown",TRUE,"60","TRUE","2014","04","09","17","44","4","FALSE","Neutered","Male","afternoon","Mix","gestation"
"A718832","Nia","Adoption","Dog","Spayed Female","AmericanStaffordshireTerrierMix","Chocolate/White",TRUE,"180","TRUE","2016","01","15","17","31","6","FALSE","Spayed","Female","afternoon","Mix","puppy"
"A698777","Chloe","Adoption","Dog","Spayed Female","ChihuahuaShorthairMix","White/Tan",TRUE,"1825","TRUE","2015","03","25","18","50","4","FALSE","Spayed","Female","afternoon","Mix","adult"
"A707341","Murphy","Transfer","Dog","Intact Male","LabradorRetrieverMix","Black/White",TRUE,"120","TRUE","2015","07","15","15","25","4","FALSE","Intact","Male","afternoon","Mix","puppy"
"A666825","Jesse","Return_to_owner","Dog","Neutered Male","CollieSmooth/GermanShepherd","Brown/Black",TRUE,"1825","TRUE","2013","11","08","13","24","6","FALSE","Neutered","Male","afternoon","Hybrid","adult"
"A699723","Delgado","Transfer","Dog","Neutered Male","ChihuahuaShorthairMix","Brown",TRUE,"1095","TRUE","2015","04","11","16","01","7","TRUE","Neutered","Male","afternoon","Mix","adult"
"A668626","","Euthanasia","Dog","Intact Male","LabradorRetrieverMix","Yellow",TRUE,"1095","FALSE","2013","12","06","14","55","6","FALSE","Intact","Male","afternoon","Mix","adult"
"A657085","Pony Boy","Return_to_owner","Dog","Neutered Male","PitBullMix","Brown/White",TRUE,"1095","TRUE","2013","10","24","11","22","5","FALSE","Neutered","Male","morning","Mix","adult"
"A686716","Chester","Return_to_owner","Dog","Neutered Male","Beagle","Tricolor",TRUE,"4380","TRUE","2014","08","27","07","50","4","FALSE","Neutered","Male","morning","Pure","senior"
"A697852","Edith","Adoption","Dog","Spayed Female","GermanShepherdMix","Black/Brown",TRUE,"150","TRUE","2015","03","09","17","57","2","FALSE","Spayed","Female","afternoon","Mix","puppy"
"A666092","","Euthanasia","Dog","Intact Male","PitBull/LabradorRetriever","Chocolate/White",TRUE,"2190","FALSE","2013","10","30","15","37","4","FALSE","Intact","Male","afternoon","Hybrid","adult"
"A701627","Gabe","Adoption","Dog","Neutered Male","BlueLacyMix","Gray/White",TRUE,"730","TRUE","2015","05","14","12","07","5","FALSE","Neutered","Male","afternoon","Mix","adult"
"A683443","","Transfer","Dog","Intact Male","ChihuahuaShorthairMix","Tan",TRUE,"365","FALSE","2014","07","18","16","23","6","FALSE","Intact","Male","afternoon","Mix","adolescent"
"A597644","Lola","Return_to_owner","Dog","Spayed Female","BlackMouthCurMix","Tan/Black",TRUE,"1460","TRUE","2014","09","16","14","05","3","FALSE","Spayed","Female","afternoon","Mix","adult"
"A682784","Sugar","Adoption","Dog","Neutered Male","Dachshund/Beagle","Brown/White",TRUE,"730","TRUE","2014","07","07","12","38","2","FALSE","Neutered","Male","afternoon","Hybrid","adult"
"A678506","Prec Punkin'","Euthanasia","Dog","Spayed Female","YorkshireTerrierMix","Brown/Black",TRUE,"4015","TRUE","2014","05","09","18","07","6","FALSE","Spayed","Female","afternoon","Mix","senior"
"A712236","Bella","Adoption","Dog","Spayed Female","DachshundMix","Tan/White",TRUE,"730","TRUE","2015","09","23","11","45","4","FALSE","Spayed","Female","morning","Mix","adult"
"A714740","Chiquita","Return_to_owner","Dog","Spayed Female","MalteseMix","White",TRUE,"2190","TRUE","2015","10","27","18","32","3","FALSE","Spayed","Female","afternoon","Mix","adult"
"A691847","Hero","Transfer","Dog","Neutered Male","PointerMix","Black/White",TRUE,"180","TRUE","2014","12","08","15","53","2","FALSE","Neutered","Male","afternoon","Mix","puppy"
"A711392","Molly","Transfer","Dog","Intact Female","EnglishFoxhound","Buff",TRUE,"60","TRUE","2015","09","08","15","31","3","FALSE","Intact","Female","afternoon","Pure","gestation"
"A678172","Bella","Adoption","Dog","Spayed Female","ChihuahuaShorthairMix","Red",TRUE,"365","TRUE","2014","05","10","18","18","7","TRUE","Spayed","Female","afternoon","Mix","adolescent"
"A676736","Chili","Adoption","Dog","Neutered Male","VizslaMix","Brown",TRUE,"60","TRUE","2014","04","30","17","55","4","FALSE","Neutered","Male","afternoon","Mix","gestation"
"A701575","Hastings","Transfer","Dog","Neutered Male","PitBullMix","Brown Brindle/White",TRUE,"730","TRUE","2016","01","29","14","53","6","FALSE","Neutered","Male","afternoon","Mix","adult"
"A674913","","Adoption","Dog","Spayed Female","GermanShepherd/GreatPyrenees","White",TRUE,"1095","FALSE","2014","03","25","18","15","3","FALSE","Spayed","Female","afternoon","Hybrid","adult"
"A669540","Snookie","Return_to_owner","Dog","Spayed Female","YorkshireTerrierMix","Blue/Tan",TRUE,"1460","TRUE","2013","12","28","16","17","7","TRUE","Spayed","Female","afternoon","Mix","adult"
"A709371","Abby","Transfer","Dog","Spayed Female","CardiganWelshCorgi/ChihuahuaShorthair","Tan",TRUE,"730","TRUE","2015","08","19","14","28","4","FALSE","Spayed","Female","afternoon","Hybrid","adult"
"A704179","Zeus","Adoption","Dog","Neutered Male","ChowChow/PitBull","Black",TRUE,"60","TRUE","2015","06","07","16","07","1","TRUE","Neutered","Male","afternoon","Hybrid","gestation"
"A700740","Charlie","Adoption","Dog","Neutered Male","ChihuahuaShorthair","White",TRUE,"365","TRUE","2015","12","17","12","10","5","FALSE","Neutered","Male","afternoon","Pure","adolescent"
"A691838","Avaddon","Euthanasia","Dog","Neutered Male","PitBullMix","Brown Brindle",TRUE,"4380","TRUE","2015","02","09","17","17","2","FALSE","Neutered","Male","afternoon","Mix","senior"
"A687789","","Adoption","Dog","Neutered Male","Dachshund/Beagle","Brown/White",TRUE,"365","FALSE","2014","09","14","18","51","1","TRUE","Neutered","Male","afternoon","Hybrid","adolescent"
"A677594","","Transfer","Dog","Intact Female","LabradorRetrieverMix","Black/White",TRUE,"90","FALSE","2014","04","26","18","00","7","TRUE","Intact","Female","afternoon","Mix","puppy"
"A717147","Freeway","Adoption","Dog","Neutered Male","PlottHoundMix","Brown Brindle/White",TRUE,"150","TRUE","2015","12","15","14","16","3","FALSE","Neutered","Male","afternoon","Mix","puppy"
